ID,mediaNumber,hasHeaderVideo,videoLength,textLength,description
1000064368,1,1,31,1314,"Story
When you find yourself in the woods, it’s raining and cold you're trying to start a fire. Your matches are wet, lighters are no where to be found kindling is wet. What do you do, freeze? No. You have a set of Survival Rings that you can wear every day. Without weight being added to your pack or matches to loose or get wet. You remove your rings use the course recessed section of the stainless steal ring to grate the magnesium ring into shavings then strike the included spark steel against the stainless steal ring, sparks fall on the magnesium shavings and poof, you have made fire using only what you have on your hands.

A set will include;

One stainless steel ring with a grinder stripe slightly recessed for comfort.
One magnesium ring with a cross hole to store the flint like rod. 
One rod made from a blend of metals formulated to produce a spark to ignite the magnesium.
We are currently producing prototypes and will update with pictures and a video as soon as possible.

Our goal is to acquire enough capital to start full production and launch a web site when everybody who wants this unique form a wearable survival gear can purchase them.

Risks and challenges
a lack of proper funding could be a potential setback

Learn about accountability on Kickstarter
Questions about this project? Check out the FAQ"
1000064918,1,1,132,1161,"Story
The Beard is a comedy based comic about an average guy that is suffering from male pattern baldness, and has nothing, suddenly gaining the power to morph his beard into any shape he needs it to be during an experiment to cure male pattern baldness. I wanted to create a story that would have everything I like to see in comics as a reader. I have the first few issues ready to print, so I'm trying to raise the money to cover the cost of printing them. Once printed I will contact comic shops to carry my comic, also i will get booths at conventions and festivals to sell my comic.

Risks and challenges
Once I get my comic printed I foresee the toughest obstacle will be getting my foot in the door to get it out and in the hands of comic readers, but i won't take no for an answer! I plan to get my comic into shops by building relationships with comic shop owners, and build relationships at comic conventions with other artist and writers to get the word out. I would also like to get into Diamond Comic Distributors to further my expansion in comic shops everywhere.

Learn about accountability on Kickstarter
Questions about this project? Check out the FAQ"
1000068480,3,1,482,4062,"Story
I'm Ilene Winn-Lederer and I'm excited to be here again at Kickstarter after last year's successful launch and funding of An Illumination Of Blessings, my first book project. If you are unaware of it, you can check out my campaign for that book here:  https://www.kickstarter.com/projects/1330347473/an-illumination-of-blessings/description  

Now, I'd like to share a new and very different book project with you! 

Notes From London, Above & Below is an unusual 42-page collection of annotated illustrations. These began in journals that I kept during my travels to visit family and friends in London between 2002 and 2009. 

Although I had to expand my skill sets as an illustrator to include writing and graphic design when I created An Illumination Of Blessings, the transition from quick sketches and notes in the London journals to finished illustrations in book form was still quite a challenge. 

Since many literal representations of Brits, buildings, bridges and double-decker buses by other artists & photographers exist, I knew that London, Above & Below would have to be different. So, as the subtitle, 'Above & Below' suggests, the sketches I chose to present and the annotations that accompany them are a synthesis of the factual and the fantastic. They are based on actual sightings and experiences filtered through my mind's eye which often sees beneath the reality most of us accept.

Though the video above presents a selection of finished illustrations with brief excerpts from their annotations, two of them appear below should you be unable to view them on your screen:

Mind The Gap
Mind The Gap
Mind The Gap was the first drawing that I completed. At the crowded tube stop near Portobello Market, I nearly tripped over a small yellow dog wearing a leather harness and a tidy checkered blanket. I began my apology to its elderly owner, but when she turned at the sound of my voice, I realized that she couldn't see me. Amidst my conflicting emotions, I suddenly envisioned these wondrous allies trading places as though they were denizens of an alternate universe in which believing is seeing…

Player
Player
‘Player’ is, for me, a quintessential denizen of the Shoreditch media world, an intense young man aware of trends before they take root and moving through life with an ever evolving philosophy of it. 

Notes From London, Above & Below is now ready for press and only requires your help with the expenses of high-quality printing, Library of Congress registration and the distribution of reward packages for your contributions.

These packages, offered according to the reward tiers listed on this Kickstarter page, will include signed books, specially designed postcards and high-quality gicleé prints from selected illustrations. If you contribute at the top tier, your name and personal inscription will appear on the book's dedication page.

When this campaign reaches its funding goal, you can expect to receive your reward package in early September, 2015.

Please understand that Kickstarter will not charge your credit cards for your contribution unless I meet my $3,000.00 funding goal.

Your help in spreading the word about Notes From London, Above & Below will not only work towards making it a reality, but will also be your passport to my imagination! I look forward to sharing this very special book with you. Thanks in advance for your support!

Risks and challenges
As a professional illustrator, writer and designer, I have always done my personal best to meet deadlines; this is essential to maintaining strong artist-client relationships. The only challenge that might impede my progress towards delivery of Notes From London, Above & Below to meet my early September, 2015 delivery date would be unforeseen life events such as illness on my part or that of a family member. Even so, if or when technical delays occur, I make it my business to keep my client(s) updated with all developments. And my book projects are no exception to this practice.

Learn about accountability on Kickstarter
Questions about this project? Check out the FAQ"
1000070642,4,0,0,337,"Story
We have finished the solo album now we just need the money to buy copy's of it to sell at shows and then reinvest it for more copy's thanks :)

Here are a few of the tracks from the album enjoy :)

Cotton Candy

Stay In Your Light


Risks and challenges
Learn about accountability on Kickstarter
Questions about this project? Check out the FAQ"
1000071625,26,1,109,5701,"Story
About Boco Tea
Boco Tea is a 100% organic, loose leaf tea company located in Boulder, Colorado.  Owned and operated by identical twin brothers, Forest and Taylor Roy, we strive to make incredibly flavorful, high quality, innovative tea that you will look forward to drinking on a daily basis.  

With over 15 years of collective tea experience, we have created a diverse line of  herbal teas which are handmade in small batches to ensure the highest quality, flavor and freshness.  Unlike most tea companies, all our herbal blends are made without the use of flavor enhancing essential oils.

Boco Tea is also proud to offer a full line of certified organic and Fair Trade rooibos, black and green teas.  All of our teas have been meticulously chosen for their superior flavor, color, and quality.

Currently, Boco Tea offers 23 teas.

10 Herbal Teas
6 Black Teas
4 Green Teas
3 Rooibos Teas
In addition to making amazing tea, we are also deeply committed to preserving the environment.  In an effort to minimize Boco Tea's impact on the earth, we have carefully selected sustainably produced ingredients, environmentally conscious vendors, and biodegradable packaging.


Business Plan
Boulder’s vibrant entrepreneurial environment and faithful support of local business combined with the fact that Boco Tea is the only organic tea company in town makes us very confident that our company will thrive.

Locally, we plan to sell directly to cafes, restaurants, B&B’s, grocery stores and the Boulder Farmer’s Market that happens every Wednesday and Saturday from April to November. 

We also plan to use facebook and have a website so people near and far can buy our teas.

Why we need you help
Boco Tea is about 90% ready to launch, but we need your donations to help us with our start-up costs such as:

Buying tea and herbs
Scales
Grinders
Storage containers
Commercial kitchen fees
Canopy for Farmer's Market display
Advertising- Business cards, Banner, etc.
Website design
Other unexpected start-up costs
Herbal Teas

Chamomile Lime- The familiar honey taste of chamomile with a subtle and perfectly complimentary lime flavor.  Try it and you will never go back.  Caffeine free.  Picture above.

Daily Green- A health boosting, and highly nutritious tea with lush green flavors that fade into a sage horizon.  Caffeine free.  Picture above.

Ginger Lemon- Sweet and gently spicy, with a huge lemon flavor that yields to a warm, lingering ginger undertone.  Caffeine free.  Picture above.

Hibiscus Apple- If you like mulled apple cider, you will love this zingy, ruby red tea made with dried apple chunks. Caffeine free.  Picture above.

Licorice Lavender- A twinkling balance between mint and lavender that dims into a universe of sweet licorice.  Caffeine free.  Picture above.

R.E.M- Honey yellow hues perfectly reflect the subtle notes of lemon, chamomile and mint that fill the palate to both soothe and satisfy your soul.  Caffeine free.  Picture above.

Hibiscus Sunrise- Beautifully red and slightly tangy, lavender, orange peel, and clove dance around until sunset.  Caffeine free.  Picture above.

SubLime Mint- An elegantly simple and unique mint tea that shakes things up with a touch of lime for something different.  Caffeine free.  Picture above.

Chamomile- Floral and reminiscent of apples.  Great with honey.  Caffeine free.  Picture above.

Peppermint- Minty and refreshing.  Caffeine free.  Picture above.
Rooibos Tea

Red Lemon- Imagine a rooibos tea that tastes like a minty, lemon drop candy.  Caffeine free.  Picture above.

Red Chai- Definitely our most complex tea.  An exotic and harmonious blend of cassia, cardamom, and clove with a subtly sweet, and mildly spicy finish.  Caffeine free.  Picture above.

Rooibos- Full of anti-oxidants, this naturally sweet, amber colored herbal tea has a smooth and earthy flavor similar to black tea.  Caffeine free.  Picture above.
Black Teas

Earl Grey Lavender- An over-the-top blend of lavender and black tea infused with bergamot oil. Floral and aromatic with a touch of citrus.  Great with honey or sugar.  Contains caffeine. Picture above.

English Breakfast- A very popular morning tea with a dark, smooth, satisfying flavor.  Contains caffeine.  Picture above.

Black Lemon- A unique blend of black tea and lemon myrtle that is perfect for those who love lemon.  Refreshing and satisfying.  Contains caffeine.  Picture above.

Black Chai- A warm and lightly spicy tea, with hints of clove, cardamom and cassia that will leave you feeling exuberant.  Best with milk and sugar.  Contains caffeine.  Picture above. 

Assam- A classic Indian tea from the Assam region with a strong tannin profile and a big malty finish.  Great with milk.  Contains caffeine. Picture above.

Ceylon- Crisp and strong with notes of plumb and raisins.  Contains caffeine.  Picture above.

Green Teas

Moroccan CardaMint- Chinese gunpowder green tea, peppermint and cardamom come together to create a full bodied, soothing tea for all occasions.  Contains caffeine.  Picture above.

Houjicha- Charcoal fired in a porcelain vessel, houjicha is classic Japanese tea that has a wonderfully woody, toasty, caramel like flavor.  Naturally low in caffeine.  Picture above.

Genmaicha- , A classic blend of Japanese sencha and popped brown rice with a pleasantly vegetal and slightly toasty flavor.  Contains caffeine.  Picture above.

White Peony-  Soft, delicate, and reminiscent of fresh spring blossoms, white peony is picked early and is prized for it's high antioxidant properties.  Contains caffeine.  Picture above.
For More Information Visit
https://www.facebook.com/pages/Boco-Tea/49568419809

Thanks for your support!!!

Risks and challenges
Learn about accountability on Kickstarter
Questions about this project? Check out the FAQ"
1000072011,21,0,0,7853,"Story
The origin of CMUK.
I'm Shaun, and at core, I’m a traveler. Whether far from home or in my own city of Chicago, I love to explore my surroundings. I’m often on the go, with a wide range of unique experiences from first thing in the morning straight through into the night.

For years, I’ve been looking for a shoe that would suit this lifestyle. One that could take me wherever my adventures do – from a trail in the rockies to a walk in the park, from a bike ride to a nice dinner, from the beach to a dance club or a bar. A shoe with the same sense of exploration that I have – that I could throw in my bag or suitcase and know I was good to go…

But this shoe didn’t exist. At least not with the versatility, style, and comfort that I needed.

I met Steve, the original designer of CMUK., on the beaches of Melbourne, Australia. He had an amazing idea and an early design for a sneaker that was lightweight and compact, stylish, comfortable, and even machine-washable. I immediately knew this had potential.

Together, Steve and I have worked long and hard to design a shoe that would deliver on four things: style, comfort, quality, and versatility. We set our eyes on a target lifestyle of the active traveler, evolving the shoe to give it a “traveler’s spirit”. We decided to maintain the low-profile outsole for style and versatility, while adapting the insole for comfort. With physician input, we designed the insole to provide metatarsal and arch support to stabilize the foot. Check out the functionality diagram below for more details. 

We hope you’ll find CMUKs as incredible as we do!

Introducing CMUK.
CMUK. is Anytime, Anywhere Footwear. It's the lifestyle sneaker that enables you to explore your hometown or the world without having to sacrifice style, ease, or comfort. CMUKs are lightweight, machine washable/quick dry, and available in a range of bold colors.

If you’re active, and looking to Take on Life Feet First, this is the sneaker that is your sidekick all day long.

(By the way, CMUK. is pronounced “smook” … it has an “s” like sneaker, and it rhymes with “look”.)

Why should you support this project? 
For those looking for a great pair of shoes, you’ll get early access to a unique and awesome product, at a terrific value.  

But we think many of you are here for more than that – and so are we. 

We are deeply committed to the long term success of this brand. We have been working on launching this product for nearly a year, thoroughly testing materials, insoles, and designs, and scrutinizing all aspects of the manufacturing process to ensure quality and safety. We've put samples in the hands of our advocates and skeptics, who have worn them for global travels, and for days, weeks, and even several months straight. Through this, an amazing piece of footwear has evolved.  

We have invested significant personal resources to get to this point and now hope you can help us by 'kickstarting' our first manufacturing run.

We see our backers as long term partners in the creation of our brand. This is a significant milestone in our progress, and we’re excited to have you be a part of it.

We promise to keep you updated on our progress, engage you as part of our community and keep you informed as the earliest backers of our brand.

Stretch Goals Added
We have created 3 stretch goals to take us to $30K, $40K, and $50K. For each stretch level we meet, we will launch an additional new color — selected by you, our backers. 

This means: 
If we hit $30K, you get to choose 1 new color for us to bring in with our next shipment.
If we hit $40K, you get to choose 2 new colors for us to bring in with our next shipment.
And, if we hit $50K, you get to choose 3 of our next colors.


Styles









CMUK. Features (why we love CMUKs)
Features:
Breathable, lightweight upper.
CMUK.-designed padded insole, providing metatarsal and arch support for stability and comfort.
Ultra-durable and low-profile rubber sole – dressy enough to wear into the night.
Barefoot ready.
Compact – folds flat for easy travel and storage.
Machine washable, quick dry.
Comes with 2 colors of braided “hiking” laces and a CMUK. drawstring bag.
Full size range for men and women.
Style range of 9 colorways (see above) – to suit your individualistic style.

Sizing and Fit:

US Women’s 5.5 - US Men’s 13.

CMUKs fit true to size.

CMUKs conform to your foot, so our sizes work well for all foot widths and lengths between US Women’s 5.5 and US Men’s 13.  If we reach our funding goal, backers selecting a shoe reward will be contacted for their preferred color and size.

Our Design Process
From the start, our approach has been about rapid prototyping and iteration — working with our manufacturing partner to create product samples and testing them with users to get to the perfect shoe.  Our manufacturer was also critical in helping us get to our initial design — a lightweight and versatile shoe with bold colors. 

While the general look of CMUK. hasn’t changed much, we’ve done a LOT of work to refine its structure and inner workings to improve the functionality of the shoe.

Among other improvements, we've refined our material selection to minimize scuffing and improve weight and breathability. We've overhauled the insole, midsole, and outsole for optimal stability and comfort, resulting in a shoe with a substantial and supportive insole despite the lightness and low profile of the shoe. And we've updated our colorways and explored new materials. We’ve come a long way…





Rewards
Thank you for your support! All shoe rewards include a CMUK. traveler's shoe box and drawstring logo bag. Backers selecting shoe or t-shirt rewards will be contacted once our campaign ends to select your desired colors and sizes. Unless otherwise specified in the reward description, all articles will ship for delivery in January.

If you'd like to order more than 3 pairs but fewer than 10, please back us at the $120 level and include an additional $40 for each additional pair.  Shipping is still free within the US, but please also add $10 per pair for shipping outside the US.  (For example: 4 pairs = $160 within US, $200 for international orders.)

If you elect the weekend in Chicago, we will contact you to plan your ideal Chicago experience sometime in 2014 that is convenient for you!



The CMUK. T-Shirt
Anvil sustainable organic cotton t-shirt in heather charcoal or purple. Available in Women's and Men's XS - XXL.

CMUK logo on the front. The back reads: ""Take on Life Feet First.""


The CMUK. shoe box
We are developing a ""traveler's"" shoe box with a handle for easy carriage. It is also designed to double for shipping, in order to minimize environmental impact and waste. It also looks cool:

Risks and challenges
CMUK. has spent a great deal of time preparing for every foreseeable challenge. This includes working with our manufacturer to develop and thoroughly test the product to ensure its quality and consistency, and with a range of operational partners to work through detailed logistics and order fulfillment.

Given our progress, we see only a few potential risks:

Order Delay: We have mitigated our risk of delay by keeping our manufacturer and other partners informed of our timeline, and we have been assured of readiness for our timing. We have also added an extra cushion to ensure timely fulfillment and delivery.

Color availability: If there is especially low demand for a particular colorway, we may not be able to offer it. This is due to the minimum order quantities set by our suppliers. In this case, Backers will be contacted to determine their second choice.

Sizing: CMUK. materials are flexible and conform to foot sizes, providing some flexibility for fit. We cannot guarantee that we'll be able to accommodate requests for size exchanges, but we'll do our best with the extra product we have on hand.

Learn about accountability on Kickstarter
Questions about this project? Check out the FAQ"
1000081649,1,0,0,2202,"Story
Hey All, 

Thankyou for taking time to read our story.

We are 3 siblings from QLD Australia who are currently in the process of creating our own clothing brand in the hopes of one day maybe opening our own clothing store.

Aaisha is 13YO and a budding Artist, she is very creative and loves Art,Music and Fashion (what teenager doesn't haha). Aaisha has been hard at work drawing designs to put on t-shirts for children, she wants to be able to dress her brother and sister up in her own designs. As Aaisha is keen to be an artist/designer when she's older this would be a great first stepping stone for her.

Yasmin is 8YO, as mischievous as she is, she is on the path to greatness, wanting to own her own shop selling clothes and shoes and wanting to be the ""boss"" haha. I think Yasmin will be a fresh face in the crowd, with a personality that outshines most 25yos haha she's  set to be greatness.

now we get to Mikey, his the one who started this all. Aaisha and I ( mum, Sara) were looking for clothes for Mikey and had a hard time finding what we wanted and go sick of seeing the same old stuff online that every store is selling, as we don't spend hundreds and thousands on clothes and items we like to buy items that are good quality and affordable, but all the ones we did find were to expensive or cheap but poor quality. 

So Aaisha asked me if she could do some designs to print on shirts for Mikey to wear, I agreed and she started drawing. We are big social media users and we noticed a lot of kids clothes are the same and we wanted to change it up.

So to start us off we need to raise funds to help set the kids up online selling their clothes, Aaisha the designer, Yasmin the manager and Mikey the model haha.

We would greatly appreciate any help we can get from anyone and would love to be able to start asap. 

Thanks again for your time and keep your eyes out for MikeyJ online :-) 

Risks and challenges
if we happen to not be able to succeed then at least we tried, we will fight and work our little butts off to achieve our goals. We are not quitters, we are strivers and strive to achieve our greatest.

Learn about accountability on Kickstarter
Questions about this project? Check out the FAQ"
1000082254,1,1,126,1157,"Story

I am raising this money ($3500.00) to have the musical charts/scores created for the top of the line musicians that will accompany me in the performances of this One Woman show with music. The phenomenal music arranger, Steven Kaminski is set to create the charts.

Securing the funds via kickstarter will allow me to get the charts completed and move forward into rehearsals. My intention is to have the show up and running this coming fall. The final destination for this show is an Off Broadway venue in New York.

ALICE in WONDERLAND in G Minor - Synopsis

Alice is spicy, intriguing and impulsive and she is on a continuous search for love. In Alice in Wonderland in G Minor, Alice takes you on a jazz infused, emotional roller coaster ride of an adventure through her wonderland of love. 

Risks and challenges
I have produced shows before and I know how delays and unexpected obstacles can and do pop up. As I have done in the past when that happens, I just regroup, stay the course and make necessary adjustments that will still allow me to reach the intended goal.

Learn about accountability on Kickstarter
Questions about this project? Check out the FAQ"
1000087442,1,0,0,941,"Story
With the loving help of all you wonderful people of the internet I will hopefully start my long-awaited journey of creating a beer so fine, so pure, so tender that Thor himself would give up his hammer for a taste of this sparkling wonderland of a beverage. The brew will mostly be consumed by myself, but if successful the beer will be shared and enjoyed with friends, family and stangers. This is my calling, this is my quest, for alcohol sustainability.

Risks and challenges
There will be many challenges on my journey. finding the right spices, herbs and aromas are some of those. Furthermore, the search for proper tools and equipment will be a challenging task. These challenges will however be met with great confidence and a burning desire to never pay for beer again. I am cocksure that with the right support my dream will become a reality.

Learn about accountability on Kickstarter
Questions about this project? Check out the FAQ"
1000091520,4,0,0,5009,"Story
A huge Thank You! to everyone who funded ""The Book Zoo."" Your support is incredible!
""The Book Zoo"" is my first effort drawing a mini-comic or zine. During a creative slump, I decided to start on this project to prove to myself I'm capable of seeing something artistic to the end. While conversing with a friend, I made a joke about book petting zoos, and then I couldn't stop thinking about them. This project has taken me about a year to finish, as I got bogged down in life and let the books go untouched for long periods of time, but now all artwork is complete and it's itching to manifest in tangible glory.

A black & white print of each comic costs $1.40, as quoted by Gotham Press, a printer in Los Angeles which gives special rates to comic and zine makers. This adds up fast! I'd like to produce 1̶0̶0̶ 200 copies to fulfill the 60 requests from friends, 10 copies to Skylight Books (Los Angeles), 10 copies to the LA Zine Fest library, 5 copies to Quimby's (Chicago), 3 copies to Desert Island Comics (New York), and have some extras to re-stock consignment and give out to new people. Since my friends are scattered around the country and abroad, I am also looking to support the cost of stamps and mailing.

Shipping is included in the goal, so you will not be charged extra, even if you are international.

STRETCH GOALS:
ACHIEVED! AT $245 = 150 Copies: this will allow more opportunities to put the comic on consignment and hand out to new friends along the way.

ACHIEVED! AT $355 = Custom prints of the covers: I hand-drew covers to some of my favorite novels, but detail gets lost in the comic's 5x4 format. This funds the original 60 orders to friends and family I was trying to fulfill in my initial kickstarter run.

Backers will get to vote on which covers go to print!

New Backers: I've added a $15 reward tier where you will get 1 mini-comic and 1 print of your choice.

Existing Backers: If you've already donated $25+, please let me know if you would like a print included in your reward. Backers outside the 60 orders who have donated $10 or less, you can adjust your donation and claim the $15 reward if you would like a print. Unfortunately, I cannot update the text on reward tiers to explicitly promise a print.

ACHIEVED! AT $450 = 200 Copies: this will allow more opportunities to put the comic on consignment and hand out to new friends along the way.

ACHIEVED! AT $525 = Release party: whether I commandeer a DIY space or occupy someone's home, we're having a release party in Los Angeles with plenty of wine and endless rounds of telephone pictionary. All funds will go to drawing materials, wine/beer, and snacks.

ACHIEVED! AT $600 = 600 will continue to offset shipping fees, and will help pay for the art supplies and binding tools used in this project. 

NEXT GOAL = ∞
We've hit every goal! Amazing! All remaining funds will go to release party supplies and snacks, and recuperating the costs of art supplies used in this project.

For those curious - art was hand-drawn & then heavily revised utilizing photoshop and illustrator. My main tool is a Wacom Intuos tablet. Book Covers were drawn by hand and colored with Copic markers. They were cleaned up and lettered digitally.

Once these are printed in shipped, and I can firmly cry out, ""I did it!"" I would like to work on the next project I have in mind. It's about buff dinosaurs. Yes.

REWARDS:
